"company_code","warehouse","receipt_number","receipt_type","receipt_status","order_number","reference_1","reference_2","reference_3","reference_4","supplier_id","supplier_name","supplier_address1","supplier_address2","supplier_address3","supplier_city","supplier_state","supplier_country","supplier_zip","contact_name","contact_phone","contact_fax","contact_e_mail","consignor","carrier_id","carrier_service_level","carrier_account_num","carrier_shipping_cost","carrier_shipping_charge","carrier_declared_value","carrier_cod_value","carrier_cod_type","carrier_waybill","carrier_appoitment","carrier_instructions","carrier_total_pcs","shipping_net_weight","shipping_gross_weight","sea_container_seal","sea_container_number","sea_container_type","sea_container_size","document_date","expected_date","date_received","receipt_start_date","receipt_end_date","date_checked","date_inspected","import_date","last_export_date","close_date","received_by","checked_by","qa_inspector","qa_inspection_tag","qa_minutes","receiving_minutes","checking_minutes","skids_provided","number_of_active_rf_units","skid_type_provided","note_from_customer","note_to_receiver","note_from_receiver","note_from_checker","note_from_qa","location_id","import_batch_number","check_shipment_flag","check_qa_flag","cancel_flag","delivery_rejected_flag","complete_receipt_flag","ready_for_export_flag","export_complete_flag","validate_receiving_flag","uniqueid","num_pallets_received","num_cases_received","processed","IsHistory","IsBackOrder","work_order_auto_pick_complete_flag","whs_transfer_flag","whs_transfer_from_warehouse","user_0","user_1","user_2","user_3","user_4","user_5","user_6","user_7","user_8","user_9","inbound_doc_printed"
"01",MM,"65721",COOLER,Complete,"90350",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-27 00:00:00,2020-08-27 00:00:00,2020-09-01 00:00:00,2020-08-27 22:54:00,2020-08-28 07:03:00,,,2020-08-27 22:52:00,,,rishab,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70261,62,63,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65804",REGULAR,Complete,"3670450843",,,,,"1164",CHEP Canada Inc,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-09 00:00:00,2020-09-09 00:00:00,2020-09-09 00:00:00,2020-09-09 08:30:00,,,,2020-09-09 08:29:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70345,1,504,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65726",COOLER,In Progress,"90351",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-28 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-28 09:23:00,,,,2020-08-28 07:55:00,,,rishab,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70266,187,187,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65747",COOLER,Complete,"90355",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-01 00:00:00,2020-09-01 00:00:00,2020-09-01 00:00:00,2020-09-01 12:24:00,,,,2020-09-01 10:59:00,,,chen,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70288,113,113,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65731",COOLER,Complete,"90352",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-28 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-29 01:49:00,,,,2020-08-28 21:54:00,,,jagan,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70271,122,122,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65736",COOLER,In Progress,"90353",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-31 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-08-31 07:59:00,,,,2020-08-31 06:51:00,,,rishab,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70276,213,213,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65752",COOLER,Complete,"90356",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-01 00:00:00,2020-09-01 00:00:00,2020-09-11 00:00:00,2020-09-01 20:31:00,,,,2020-09-01 19:52:00,,,jagan,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70293,130,130,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65755",COOLER,In Progress,"90357",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-02 10:31:00,,,,2020-09-02 09:42:00,,,rob,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70296,139,139,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65764",COOLER,In Progress,"90358",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-03 00:00:00,2020-09-03 00:00:00,2020-09-03 00:00:00,2020-09-03 06:14:00,,,,2020-09-03 01:17:00,,,rob,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70305,27,27,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65765",COOLER,In Progress,"90359",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-03 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-03 09:45:00,,,,2020-09-03 06:46:00,,,chen,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70306,160,160,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65769",COOLER,Complete,"90360",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-03 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-04 04:23:00,,,,2020-09-03 15:35:00,,,jamer,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70310,60,60,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65754",COOLER,Complete,"4701650881",,,,,"",trenton,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-02 08:00:00,,,,2020-09-02 07:54:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70295,24,96,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65756",REGULAR,Complete,"4508490743",,,,,"1151",Norampac,"655 Creditstone Rd","","",Vaugham,ON,Canada,L4K 5P9,"","905 760 3900","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-09-02 14:10:00,,,,2020-09-02 10:30:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70297,1,119350,0,0,0,0,0,"","","","","","","","","","","",0
